method,distribution,round,n_clients,n_selected,model_size_mb,round_time_sec,cumulative_comm_mb,mu,fold
fedavg,iid,1,6,6,6.08,310.06,72.96,,
fedavg,iid,2,6,6,6.08,264.43,145.91,,
fedavg,iid,3,6,6,6.08,267.66,218.87,,
fedavg,iid,4,6,6,6.08,265.88,291.82,,
fedavg,iid,5,6,6,6.08,267.96,364.78,,
fedavg,iid,6,6,6,6.08,337.04,437.73,,
fedavg,iid,7,6,6,6.08,258.44,510.69,,
fedavg,iid,8,6,6,6.08,258.8,583.64,,
fedavg,iid,9,6,6,6.08,261.41,656.6,,
fedavg,iid,10,6,6,6.08,267.62,729.55,,
fedavg,iid,11,6,6,6.08,263.63,802.51,,
fedavg,iid,12,6,6,6.08,265.28,875.47,,
fedavg,iid,13,6,6,6.08,265.02,948.42,,
fedavg,iid,14,6,6,6.08,263.9,1021.38,,
fedavg,iid,15,6,6,6.08,264.47,1094.33,,
fedavg,iid,16,6,6,6.08,266.74,1167.29,,
fedavg,iid,17,6,6,6.08,267.63,1240.24,,
fedavg,iid,18,6,6,6.08,263.71,1313.2,,
fedavg,iid,19,6,6,6.08,265.98,1386.15,,
fedavg,iid,20,6,6,6.08,264.54,1459.11,,
fedavg,noniid,1,6,6,6.08,265.65,72.96,,
fedavg,noniid,2,6,6,6.08,264.75,145.91,,
fedavg,noniid,3,6,6,6.08,266.48,218.87,,
fedavg,noniid,4,6,6,6.08,261.5,291.82,,
fedavg,noniid,5,6,6,6.08,261.49,364.78,,
fedavg,noniid,6,6,6,6.08,266.28,437.73,,
fedavg,noniid,7,6,6,6.08,267.55,510.69,,
fedavg,noniid,8,6,6,6.08,262.29,583.64,,
fedavg,noniid,9,6,6,6.08,261.87,656.6,,
fedavg,noniid,10,6,6,6.08,266.21,729.55,,
fedavg,noniid,11,6,6,6.08,268.73,802.51,,
fedavg,noniid,12,6,6,6.08,263.72,875.47,,
fedavg,noniid,13,6,6,6.08,262.16,948.42,,
fedavg,noniid,14,6,6,6.08,264.43,1021.38,,
fedavg,noniid,15,6,6,6.08,267.93,1094.33,,
fedavg,noniid,16,6,6,6.08,263.62,1167.29,,
fedavg,noniid,17,6,6,6.08,262.02,1240.24,,
fedavg,noniid,18,6,6,6.08,263.9,1313.2,,
fedavg,noniid,19,6,6,6.08,268.24,1386.15,,
fedavg,noniid,20,6,6,6.08,264.91,1459.11,,
fedprox,noniid,1,6,6,6.08,266.44,72.96,0.1,
fedprox,noniid,2,6,6,6.08,266.58,145.91,0.1,
fedprox,noniid,3,6,6,6.08,269.68,218.87,0.1,
fedprox,noniid,4,6,6,6.08,266.31,291.82,0.1,
fedprox,noniid,5,6,6,6.08,265.07,364.78,0.1,
fedprox,noniid,6,6,6,6.08,268.43,437.73,0.1,
fedprox,noniid,7,6,6,6.08,270.63,510.69,0.1,
fedprox,noniid,8,6,6,6.08,267.01,583.64,0.1,
fedprox,noniid,9,6,6,6.08,265.58,656.6,0.1,
fedprox,noniid,10,6,6,6.08,268.54,729.55,0.1,
fedprox,noniid,11,6,6,6.08,270.9,802.51,0.1,
fedprox,noniid,12,6,6,6.08,268.47,875.47,0.1,
fedprox,noniid,13,6,6,6.08,265.91,948.42,0.1,
fedprox,noniid,14,6,6,6.08,267.78,1021.38,0.1,
fedprox,noniid,15,6,6,6.08,270.89,1094.33,0.1,
fedprox,noniid,16,6,6,6.08,267.37,1167.29,0.1,
fedprox,noniid,17,6,6,6.08,265.68,1240.24,0.1,
fedprox,noniid,18,6,6,6.08,266.88,1313.2,0.1,
fedprox,noniid,19,6,6,6.08,271.19,1386.15,0.1,
fedprox,noniid,20,6,6,6.08,268.79,1459.11,0.1,
fedavg,dirichlet_a0.5,1,6,6,6.08,256.17,72.96,,1.0
fedavg,dirichlet_a0.5,2,6,6,6.08,249.85,145.91,,1.0
fedavg,dirichlet_a0.5,3,6,6,6.08,247.99,218.87,,1.0
fedavg,dirichlet_a0.5,4,6,6,6.08,247.35,291.82,,1.0
fedavg,dirichlet_a0.5,5,6,6,6.08,253.63,364.78,,1.0
fedavg,dirichlet_a0.5,6,6,6,6.08,249.13,437.73,,1.0
fedavg,dirichlet_a0.5,7,6,6,6.08,247.79,510.69,,1.0
fedavg,dirichlet_a0.5,8,6,6,6.08,251.53,583.64,,1.0
fedavg,dirichlet_a0.5,9,6,6,6.08,249.56,656.6,,1.0
fedavg,dirichlet_a0.5,10,6,6,6.08,247.94,729.55,,1.0
fedavg,dirichlet_a0.5,11,6,6,6.08,252.08,802.51,,1.0
fedavg,dirichlet_a0.5,12,6,6,6.08,249.23,875.47,,1.0
fedavg,dirichlet_a0.5,13,6,6,6.08,248.89,948.42,,1.0
fedavg,dirichlet_a0.5,14,6,6,6.08,250.76,1021.38,,1.0
fedavg,dirichlet_a0.5,15,6,6,6.08,248.56,1094.33,,1.0
fedavg,dirichlet_a0.5,16,6,6,6.08,248.75,1167.29,,1.0
fedavg,dirichlet_a0.5,17,6,6,6.08,251.2,1240.24,,1.0
fedavg,dirichlet_a0.5,18,6,6,6.08,248.11,1313.2,,1.0
fedavg,dirichlet_a0.5,19,6,6,6.08,250.32,1386.15,,1.0
fedavg,dirichlet_a0.5,20,6,6,6.08,251.83,1459.11,,1.0
fedprox,iid,1,6,6,6.08,268.12,72.96,0.01,1.0
fedprox,iid,2,6,6,6.08,270.45,145.91,0.01,1.0
fedprox,iid,3,6,6,6.08,267.0,218.87,0.01,1.0
fedprox,iid,4,6,6,6.08,269.95,291.82,0.01,1.0
fedprox,iid,5,6,6,6.08,270.18,364.78,0.01,1.0
fedprox,iid,6,6,6,6.08,267.16,437.73,0.01,1.0
fedprox,iid,7,6,6,6.08,269.73,510.69,0.01,1.0
fedprox,iid,8,6,6,6.08,267.55,583.64,0.01,1.0
fedprox,iid,9,6,6,6.08,268.06,656.6,0.01,1.0
fedprox,iid,10,6,6,6.08,269.39,729.55,0.01,1.0
fedprox,iid,11,6,6,6.08,266.78,802.51,0.01,1.0
fedprox,iid,12,6,6,6.08,270.15,875.47,0.01,1.0
fedprox,iid,13,6,6,6.08,267.94,948.42,0.01,1.0
fedprox,iid,14,6,6,6.08,386.99,1021.38,0.01,1.0
fedprox,iid,15,6,6,6.08,268.07,1094.33,0.01,1.0
fedprox,iid,16,6,6,6.08,264.82,1167.29,0.01,1.0
fedprox,iid,17,6,6,6.08,264.79,1240.24,0.01,1.0
fedprox,iid,18,6,6,6.08,268.84,1313.2,0.01,1.0
fedprox,iid,19,6,6,6.08,269.83,1386.15,0.01,1.0
fedprox,iid,20,6,6,6.08,265.75,1459.11,0.01,1.0
fedavg,dirichlet_a0.1,1,4,4,6.08,186.79,48.64,,1.0
fedavg,dirichlet_a0.1,2,4,4,6.08,184.05,97.27,,1.0
fedavg,dirichlet_a0.1,3,4,4,6.08,183.02,145.91,,1.0
fedavg,dirichlet_a0.1,4,4,4,6.08,184.73,194.55,,1.0
fedavg,dirichlet_a0.1,5,4,4,6.08,184.97,243.18,,1.0
fedavg,dirichlet_a0.1,6,4,4,6.08,183.85,291.82,,1.0
fedavg,dirichlet_a0.1,7,4,4,6.08,181.63,340.46,,1.0
fedavg,dirichlet_a0.1,8,4,4,6.08,181.96,389.1,,1.0
fedavg,dirichlet_a0.1,9,4,4,6.08,182.8,437.73,,1.0
fedavg,dirichlet_a0.1,10,4,4,6.08,186.4,486.37,,1.0
fedavg,dirichlet_a0.1,11,4,4,6.08,186.23,535.01,,1.0
fedavg,dirichlet_a0.1,12,4,4,6.08,182.21,583.64,,1.0
fedavg,dirichlet_a0.1,13,4,4,6.08,182.41,632.28,,1.0
fedavg,dirichlet_a0.1,14,4,4,6.08,182.56,680.92,,1.0
fedavg,dirichlet_a0.1,15,4,4,6.08,184.18,729.55,,1.0
fedavg,dirichlet_a0.1,16,4,4,6.08,186.3,778.19,,1.0
fedavg,dirichlet_a0.1,17,4,4,6.08,185.04,826.83,,1.0
fedavg,dirichlet_a0.1,18,4,4,6.08,187.1,875.47,,1.0
fedavg,dirichlet_a0.1,19,4,4,6.08,182.78,924.1,,1.0
fedavg,dirichlet_a0.1,20,4,4,6.08,182.45,972.74,,1.0
